STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,6496,20255473.92,163690,2023-10-16
강동구,7964,16149569.5,151050,2023-10-16
강북구,2610,6162126.04,56541,2023-10-16
강서구,23134,39321150.28,339229,2023-10-16
관악구,4356,10731701.42,87527,2023-10-16
광진구,8747,19018162.72,168036,2023-10-16
구로구,8270,19033543.6,149773,2023-10-16
금천구,3771,9681572.6,68733,2023-10-16
노원구,10899,23987853.25,207320,2023-10-16
도봉구,3793,9700061.38,77230,2023-10-16
동대문구,6598,16086705.5,136476,2023-10-16
동작구,3898,10790367.45,84306,2023-10-16
마포구,9054,25998013.84,220965,2023-10-16
서대문구,3677,10594338.04,82298,2023-10-16
서초구,5946,18142100.46,139411,2023-10-16
성동구,7316,21808906.04,170985,2023-10-16
성북구,4799,10990615.34,92015,2023-10-16
송파구,16214,36477892.85,335476,2023-10-16
양천구,10873,21637495.96,187663,2023-10-16
영등포구,16550,39600120.15,345450,2023-10-16
용산구,3696,12046188.5,93034,2023-10-16
은평구,4584,10322053.93,86323,2023-10-16
종로구,6128,13009627.91,124002,2023-10-16
중구,4759,11368554.12,103946,2023-10-16
중랑구,5603,12631770.15,104803,2023-10-16
